2022-05-18 12:05:258 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (19ea3d9cb8620005f946ebd76d076984)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:522 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (19ea3d9cb8620005f946ebd76d076984)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:751 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 12:05:967 INFO  StartPage :26 - click On Start ButtonStart now
2022-05-18 12:05:202 INFO  SelectNationalityPage :29 - select country [[ChromeDriver: chrome on WINDOWS (dbbf1a881fff57f252eebf8eebd6b206)] -> id: response]
2022-05-18 12:05:282 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (dbbf1a881fff57f252eebf8eebd6b206)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:597 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (dbbf1a881fff57f252eebf8eebd6b206)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:593 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 12:05:113 INFO  StartPage :26 - click On Start ButtonStart now
2022-05-18 12:05:310 INFO  SelectNationalityPage :29 - select country [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> id: response]
2022-05-18 12:05:366 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:683 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:935 INFO  DurationOfStayPage :31 - Select the Stay time length [[[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //div[@class='govuk-radios']//label]]
2022-05-18 12:05:978 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:224 INFO  WorkTypePage :32 - select job type list[[[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //div[@class='govuk-radios']//div//label]]
2022-05-18 12:05:290 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (8fcbfb1b0ff0f77a80d957ce8e4e47d8)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:298 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 12:05:971 INFO  StartPage :26 - click On Start ButtonStart now
2022-05-18 12:05:149 INFO  SelectNationalityPage :29 - select country [[ChromeDriver: chrome on WINDOWS (c0fe45218a53802e119f44a6d2b8047e)] -> id: response]
2022-05-18 12:05:215 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (c0fe45218a53802e119f44a6d2b8047e)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:580 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (c0fe45218a53802e119f44a6d2b8047e)] -> xpath: //button[normalize-space()='Continue']]
2022-05-18 12:05:841 INFO  SelectNationalityPage :34 - click on continue button [[ChromeDriver: chrome on WINDOWS (c0fe45218a53802e119f44a6d2b8047e)] -> xpath: //button[normalize-space()='Continue']]
